"estabelecimento","total gasto"
"HOTEL BEIRA RIO DE ITUMBIARA LTDA",13016
"ATLANTICA HOTELS INTENATIONAL BRASIL LTDA","12931,13"
"HOTEIS CONTUR LTDA","12648,8"
"POSSEIDON HOTEL LTDA","12647,5"
"CUTRALE EMPREENDIMENTOS LTDA","12641,2"
"CREACTEVE EVENTOS E TURISMO LTDA",12600
"OUROTUR ORGANIZAÇÃO LTDA","12566,4"
"HOTELARIA ACCOR BRASIL","12533,15"
"PORTAL HOTÉIS LTDA",12460
"EUZEBIO MAIA - EPP",12340
"JOAO PAULO HOTEL","12319,65"
"ATHANASE SARANTOPOULOS HOTEIS E TURISMO","12269,92"
"IBIRAPUERA PARK HOTEL",12176
"ROYAL SAVASSI HOTEL","12154,8"
"TRANSAMERIA FLATS S/C LTDA","12130,65"
"CASTOR & LEÃO ADMINISTRAÇÃO HOTELEIRA S/A","12065,55"
"ATLANTICO PRAIA HOTEL LTDA","12053,34"
"BPS TURISMO LTDA - HOTEL COROADOS","11984,5"
"ATLANTICA HOTELS INTRNACIONAL LTDA","11981,4"
"CESAR - POSADAS DO BRASIL EMPREENDIMENTOS HOTELEIROS LTDA","11813,34"
"ORGBRISTOL ORGANIZAÇÕES BRISTOL","11725,9"
"BAOBA PARTICIPAÇÕES E ADMINISTRAÇÃO LTDA","11713,68"
"MELO HOTEIS LTDA",11625
"M.N. PORTO HOTÉIS LTDA","11567,8"
"BOURBON ADM. DE BENS LTDA","11547,9"
"EMPRESA HOTELEIRA NICOR LTDA","11415,53"
"CELI EMPREENDIMENTOS HOTELEIROS LTDA","11356,25"
"M ANDRADE ADMINISTRAÇÃO DE BENS LTDA",11355
"COSTA NORTE HOTELARIA LTDA. - INGLESES",11340
"ATLANTICA HOTELS INTERNATIONAL (BRASIL) LTDA","11253,9"
"MELIA BRASIL ADM.HOTELARIA E COMERCIAL LTDA","11226,6"
"IC SOLUÇÃO EM HOTELÁRIA LTDA",11223
"MATIAS E MONTEIRO LTDA",11150
"LAZAR COMÉRCIO DE ALIMENTOS E SERVIÇOS HOTELEIROS LTDA",11080
"HOTEIS DA FONTE SA","10799,25"
"P.1 ADMINISTRAÇÃO EM COMPLEXOS IMOBILIÁRIOS LTDA.","10629,06"
"HOTEL TURISMO LE MAZOT SURMER LTDA","10611,84"
"PAULISTA PRAIA HOTEL SA","10606,25"
"ALEXANDRE MATTAR IND. HOT. LTDA - HOTEL DAS PALMEIRA",10545
"CONSTRUTORA KNOW HOW LTDA",10256
"TUPAN HOTEIS LTDA",10180
"HOTUCAFRE-HOTEIS E TURISMO CALADO DE FREITAS LTDA",10152
"HOTÉIS DELPHIN LTDA",10150
"M.P.A. PARTICIPAÇÃO E ADMINISTRAÇÃO DE BENS E NEGÓCIOS LTDA","10116,7"
"HOTEL JACQUES GEORGES LTDA",10101
"OTHON PALACE BELO HORIZONTE",10101
"SAMIA QUIMSIEH BADRA",10080
"HOTEIS ELDORADO CUIABA S/A","10039,5"
"POUSADA DAS ARARAS LTDA",10017
"BLUE TREE HOTELS & RESORTS DO BRASIL S/A","9958,57"
"MELIÁ CONFORT- JESUINO ARRUDA","9882,08"
"CONTINENTAL INN HOTEL LTDA",9800
"MONUMENTAL HOT. ACCOR BRASIL S.A - MERCURE",9785
"LAGUNA TOURIST HOTEL LTDA",9750
"Z.T. EMPREENDIMENTOS TURÍSTICOS LTDA",9712
"HOTEL DE TURISMO PARQUE BALNEARIO LTDA","9645,12"
"J COUTO OLIVEIRA LTDA HOTEL VILLAGE","9582,14"
"AGOSTINI & LUNARDELLI LTDA",9448
"RANCHO DOS CARVALHOS LTDA",9320
"HOTEL FAZENDA SÃO FRANCISCO",9270
"HOTEL VALE REAL",9220
"MERCO PLAZA HOTEL - HZ HOTELARIA E ADM. IMÓVEIS LTDA",9192
"CURUMIM TRANSPORTES DE LOCAÇÃO LTDA","9190,06"
"ÁBACO HOTELARIA E SERVIÇOS S/A",9179
"M.P.S. SERVIÇOS LTDA - ME",9159
"BLUE TREE TOWERS - HOTELS & RESORTS DO BRASIL S/A","9144,48"
"INTERCITY HOTÉIS LTDA",9096
"J. LEONE EMPREENDIMENTOS HOTELEIROS E TURISMO LTDA",9060
"GUANABARA PALACE HOTEL LTDA","9040,5"
"POUSADA ZÉ MARIA LTDA",9000
"HOTEIS MARTINS LTDA","8997,75"
"POSADAS SUDAMERICA LTDA- CESAR BUSINESS","8857,8"
"W-TUR HOTEIS E SIMILARES LTDA",8770
"HOTEL OT LTDA","8747,15"
"B F BIANCINI HOTEL LTDA",8536
"MITSUKO MAYEJI - ME - REGIS HOTEL",8535
"PARNATUR TURISMO LTDA",8508
"ARMANI HOTEL LTDA",8490
"VALETUR VALE DO SÃO FRANCISCO TURISMO LTDA.",8400
"FEIRA PALACE HOTEL",8330
"RCD EMPREENDIMENTOS LTDA",8323
"BLUE TREE HOTELS & RESORT DO BRASIL S/A",8316
"VIEIRALVES EMPREEND.HOTELEIROS LTDA- CENTER PARK HOTEL",8175
"SOL BARRA HOTEL LTDA",8165
"SOTEL HOTELARIA LTDA","8089,76"
"F. ANTÔNIO DA SILVA HOTEL","8048,25"
"PETROLINA PALACE HOTEL LTDA","7996,56"
"HOTEL RIO PARNAÍBA LTDA",7991
"REDE POUSADA LTDA","7919,75"
"HOTEL PRAIA DE ITAPOÃ S/A","7886,71"
"WOLFF COMERCIAL INCORP E ADMINISTRADORA LTDA",7850
"SPYDER GESTÃO EMPRESARIAL LTDA",7825
"SHELTON INN HOTEL ARARAQUARA LTDA","7814,24"
"LIBERTY PALACE",7769
"SENAC -SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL",7733
"ESTANPLAZA ADMINISTRADORA HOTELEIRA E COMERCIAL LTDA","7719,6"
"AMAZON AMBASSADOR PESCA E TURISMO LTDA",7580
"V.L. CORREA & CIA LTDA-ME",7550
"HOTEL VILLAGE CAMPINA GRANDE","7484,4"
"M. AUGUSTO G. COELHO - RITZ LAGOA DAS ANTAS","7432,45"
"LETUR EMPREENDIMENTOS TURÍSTICOS LTDA",7420
"AQUARIOS PRAIA HOTEL",7305
"ORGBRISTOL ORGANIZAÇÕES BRISTOL LTDA","7260,75"
"HOTEL FAZENDA DOS OLIVEIRAS",7245
"LUIZ EVANILDO DE FRANÇA - HOTEL BELAS ARTES",7202
"NOBRE PÁLACE HOTEL LTDA","7175,3"
"FONTES SERVIÇOS GERAIS LTDA-HOTEL DEL PRINCIPE",7150
"ALLINE A. MEREIRA MEDIO NORTE HOTEL",7110
"MBM ADMINISTRAÇÃO E SERVIÇOS HOTELEIROS LTDA ME",7110
"ALPHONSUS HOTEL C.R.HOTÉIS LTDA - ME",7092
"QUALITY SUITES VILA VELHA","7063,85"
"CRISUL HOTÉIS E TURISMO S/A",7020
"HOTEL AVENIDA PALAX LTDA",6972
"ANTONIO'S PALACE HOTEL LTDA",6948
"DACOPAR DA COSTA PARTICIPAÇÕES LTDA","6935,25"
"ARPOADOR DE HOTÉIS E TURISMO LTDA","6934,2"
"RIEMA EMPREENDIMENTOS IMOBILIÁRIOS LTDA","6926,5"
"GOLDEN INGÁ APART HOTEL LTDA",6870
"ATLANTICA HOTELS INTERNATIONAL QUALITA (CCO) S/A","6844,85"
"BRISTOL ADMIN DE HOTEIS E CONDOM S/S LTDA",6840
"MALIBU PALACE HOTEL S/A","6825,2"
"ERMITAGE HOTEIS E TURISMO LTDA",6804
"CASTRO MARQUES ANFARMA LTDA",6780
"TS HOTELARIA E TURISMO LTDA.",6707
"CACHOEIRO PLAZA HOTEL","6655,95"
"CHUVA DE PRATA HOTEL LTDA",6615
