"estabelecimento","total gasto"
"PAULISTA PRAIA HOTEL S/A","3655,68"
"CHURRASCARIA GAUCHA LTDA",3655
"CHURRASCARIA KILOMBO LTDA",3645
"PADARIA PRISTSCH LTDA","3636,14"
"SUPERMERCADO GUANABARA S/A","3629,3"
"BARRAVENTO HOTEL LTDA",3600
"CHURRASCARIA GRILL",3577
"NAZARE COMERCIO DE ALIMENTAÇÃO E MAGAZINES LTDA","3557,57"
"RANCHO CATARINENSE",3546
"LUIZA AQUIM EVENTOS CULINÁRIOS LTDA",3500
"J. DE S. DUARTE ME","3499,6"
"CHURRASCARIA TREVO SUL LTDA","3452,4"
"HOTEL FAZENDA SÃO FRANCISCO",3430
"PARANÁ RESTAURANTE LTDA",3420
"CHURRASCARIA ASA BRANCA CENTRAL LTDA",3416
"MATEUS SUPERMERCADOS LTDA","3407,62"
"EDSON PINTO MARIANO NETO - ME",3401
"IRNAAIS GOMES DE CARVALHO",3393
"LANCHONETE VALENTE LTDA","3359,4"
"RESTAURANTE BRASSERIE BRICKELL KEY LTDA","3339,6"
"FORMATO INDUSTRIA E COMÉRCIO DE ALIMENTOS LTDA",3320
"BUFFET LA DEFENSE LTDA",3315
"CAFES FUNOS          IGUAÇU LTDA","3309,4"
"PORTAL HOTÉIS LTDA",3255
"EDNA SAMPAIO DE OLIVEIRA - DEMOISELLE","3237,95"
"RESTAURANTE TUTTA PASTA LTDA","3167,8"
"SALGUEIRO PLAZA HOTEL LTDA - ME","3150,8"
"LANCHONETE JING 698 LTDA",3138
"CHURRASCARIA PIMENTEL E SILVA LTDA",3121
"WALL MART BRASIL","3098,09"
"PERUZZO SUPERMERCADOS LTDA","3078,52"
"MAQUINÉ EMPREENDIMENTOS S/A","3048,2"
"COMERCIAL CELEIRO LTDA","3040,1"
"IBRAHIM HADAD NETO",3003
"PADARIA & CONFEITARIA CAFÉ DA PRAIA LTDA ME","3002,4"
"PAULO ROGERIO DA SILVEIRA -ME - DOCAS",3002
"COOPERATIVA AGRO EXTRATIVISTA BOM DESTINO",3000
"STEIN & STEIN LTDA","2995,2"
"SUPERMERCADO ECONOMICO","2990,84"
"JUJU PIZZARIA LTDA.",2990
"O.M.DE OLIVEIRA & CIA LTDA","2977,5"
"UNICATER ALIMENTOS E SERVIÇOS LTDA",2960
"AMIGÃO LINS SUPERMERCADO LTDA","2924,07"
"SAN SIRO COMESTÍVEIS LTDA.",2875
"RESTAURANTE & LANCHONETE TERRA DE MINAS LTDA",2849
"FRANCISCO GINETE ANDRADE - ME","2842,4"
"NECTART DA SERRA LTDA","2840,4"
"SUPERMERCADO BAHAMAS LTDA","2816,6"
"J. C. SANTOS E CIA LTDA","2811,94"
"EL DORADO FEIRAS E EVENTOS LTDA-ME",2800
"VITOR CARDOSO PATRÃO E CIA LTDA",2795
"BIGBURGER SALVADOR LANCHONETES LTDA",2783
"PANIFICADORA E LANCHONETE GRATEKI VIEIRA LTDA",2768
"PANIER ALIMENTOS LTDA","2763,81"
"COMERCIO DE ALIMENTOS LTDA","2753,25"
"BESSA E CIA LTDA",2730
"IRMANDADE SANTA CASA DE MISECORDIA DE SOBRAL","2725,5"
"BAR GASPARINI LTDA",2712
"HOTEL THERMAS LTDA","2708,75"
"AMARAL E AMARAL LTDA",2688
"CIA DO SABOR",2680
"PURAS DO BRASIL S.A",2656
"IRMÃOS BRETAS FILHO E CIA LTDA","2640,26"
"MACRUZGIO´S BAR E LANCHEIRIA LTDA",2626
"J.R.M. LIRA BROL RESTAURANTE",2625
"MIRANTE INDUSTRIA E COMERCIO DE PÃES LTDA","2624,8"
"COMERCIAL DE ALIMENTOS CARREFOUR S/A","2620,3"
"PAES E DOCES",2612
"PETROLINA PALACE HOTEL LTDA",2607
"G. HENRIQUE ARAÚJO - ME","2605,9"
"HUBERT ROBERT COIMET",2600
"GALETO 80 GRAUS RESTAURANTE LTDA.",2567
"BELLA PAULISTA PÃES DOCES E CONVENIÊNCIAS LTDA EPP",2559
"BAR E LANCHES PAMPLONA LTDA - ME","2544,5"
"RA SERVICE LTDA","2536,7"
"COMISSARIA VITORIA LTDA","2530,8"
"TRANSCONTINENTAL HOTÉIS E TURISMO LTDA",2530
"SALCO COMERCIO DE ALIMENTOS S/A","2516,1"
"MILI INDÚSTRIA DE PANIFICAÇÃO E COMÉRCIO DE ALIMENTOS LTDA",2507
"TRIO DOCE ALIMENTOS LTDA - ME",2500
"SUPERMERCADO MODELO LTDA","2482,43"
"SAN  MIGUEL IND E COMERCIO DE PÃES LTDA",2475
"MERCADINHO BRASILA LTDA","2422,14"
"MATEUS SUPERMERCADO LTDA","2416,45"
"TEODORO $ BRITO LTDA","2415,19"
"ORIAN VASCONCELOS CARVALHO - ME",2405
"VARANDAS DE LARANJEIRAS RESTAURANTE LTDA",2400
"INGRA HOTEL LTDA","2390,6"
"CANTINA ROMANA DE VARGINHA LTDA","2346,5"
"KALLOPOLLI COMERCIO DE ALIMENTOS LTDA","2338,25"
"IMAD HAMDAR JUNIOR",2336
"DALPIAN DALPIAN & CIA",2316
"CARNE SOL RECANTO PICUI LTDA","2306,5"
"CHURRASCARIA GAÚCHA ROMANI II LTDA",2302
"ANTONINO CESAR DE MORAES BATISTA E CIA LTDA",2300
"CIA. INDUSTRIAL DE GRANDES HOTÉIS - HOTEL GLÓRIA","2294,9"
"LUIZ CARLOS BARROS ALVES- ME",2280
