"UF","Cidade","Data","Dados da apreensão","Tipo penal"
"DF","Brasília",18/02/2019,"160 (CENTO E SESSENTA)  PÁSSAROS A ESPÉCIE CANÁRIO-DA-TERRA;160 (CENTO E SESSENTA)  PÁSSAROS A ESPÉCIE CANÁRIO-DA-TERRA;CENTO E CINQUENTA  PÁSSAROS DA FAUNA SILVESTRE, VISUALMENTE IDENTIFICADOS PELOS POLICIAIS MILITARES DO BATALHÃO AMBIENTALDF COMO SENDO DA ESPÉCIE ""CANÁRIO DA TERRA"", ACONDICIONADOS EM 04 (QUATRO) GAIOLAS.","Art.28, Lei 11343/2006;Art.29, Lei 9605/1998;Art.32, Lei 9605/1998"
"AC","Cruzeiro do Sul",22/02/2019,"02 JABUTIS;02 JABUTIS","Art.33, Lei 11343/2006;Art.35, Lei 11343/2006"
"RJ","Nova Iguacu",13/03/2019,"CINCO (5) COLEIROS, COM AS RESPECTIVAS GAIOLAS.;CINCO (5) COLEIROS, COM AS RESPECTIVAS GAIOLAS.;CINCO (5) COLEIROS, COM AS RESPECTIVAS GAIOLAS.;CINCO (5) COLEIROS, COM AS RESPECTIVAS GAIOLAS.;CINCO (5) COLEIROS, COM AS RESPECTIVAS GAIOLAS.;CINCO (5) COLEIROS, COM AS RESPECTIVAS GAIOLAS.;QUATRO (4) TICO-TICOS, NUMA MESMA GAIOLA.;QUATRO (4) TICO-TICOS, NUMA MESMA GAIOLA.;QUATRO (4) TICO-TICOS, NUMA MESMA GAIOLA.;QUATRO (4) TICO-TICOS, NUMA MESMA GAIOLA.;QUATRO (4) TICO-TICOS, NUMA MESMA GAIOLA.;QUATRO (4) TICO-TICOS, NUMA MESMA GAIOLA.;QUATRO (4) TRINCA-FERROS, NAS RESPECTIVAS GAIOLAS.;QUATRO (4) TRINCA-FERROS, NAS RESPECTIVAS GAIOLAS.;QUATRO (4) TRINCA-FERROS, NAS RESPECTIVAS GAIOLAS.;QUATRO (4) TRINCA-FERROS, NAS RESPECTIVAS GAIOLAS.;QUATRO (4) TRINCA-FERROS, NAS RESPECTIVAS GAIOLAS.;QUATRO (4) TRINCA-FERROS, NAS RESPECTIVAS GAIOLAS.;UM GALO DE CAMPINA, NA RESPECTIVA GAIOLA.;UM GALO DE CAMPINA, NA RESPECTIVA GAIOLA.;UM GALO DE CAMPINA, NA RESPECTIVA GAIOLA.;UM GALO DE CAMPINA, NA RESPECTIVA GAIOLA.;UM GALO DE CAMPINA, NA RESPECTIVA GAIOLA.;UM GALO DE CAMPINA, NA RESPECTIVA GAIOLA.;UM TICO-TICO, NA RESPECTIVA GAIOLA.;UM TICO-TICO, NA RESPECTIVA GAIOLA.;UM TICO-TICO, NA RESPECTIVA GAIOLA.;UM TICO-TICO, NA RESPECTIVA GAIOLA.;UM TICO-TICO, NA RESPECTIVA GAIOLA.;UM TICO-TICO, NA RESPECTIVA GAIOLA.;UM TISIU, NA RESPETIVA GAIOLA.;UM TISIU, NA RESPETIVA GAIOLA.;UM TISIU, NA RESPETIVA GAIOLA.;UM TISIU, NA RESPETIVA GAIOLA.;UM TISIU, NA RESPETIVA GAIOLA.;UM TISIU, NA RESPETIVA GAIOLA.","Art.29,§1°, Lei 9605/1998;Art.29,§1°, Lei 9605/1998;Art.29,§1°, Lei 9605/1998;Art.29,§1°, Lei 9605/1998;Art.29,§1°, Lei 9605/1998;Art.29,§1°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998"
"SP","São José dos Campos",15/03/2019,"DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;DUAS AVES SILVESTRES, CADA UMA EM UMA GAIOLA, SENDO 01 CURIÓ ANILHADO E 01 TRINCA-FERRO;;UM CASCO DE TATU;;UM CASCO DE TATU;;UM CASCO DE TATU;;UM CASCO DE TATU;;UM CASCO DE TATU;;UM CASCO DE TATU;;UM CASCO DE TATU;;UM CASCO DE TATU;;UM CASCO DE TATU;","Art.12, Lei 10826/2003;Art.12, Lei 10826/2003;Art.29,§1°, Lei 9605/1998;Art.29,§1°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998;Art.48, Lei 9605/1998;Art.48, Lei 9605/1998;Art.52, Lei 9605/1998;Art.52, Lei 9605/1998"
"AM","Tabatinga",16/03/2019,"01 (UMA) GARÇA DE APROXIMADAMENTE, 1(UM) KG","-"
"RJ","Nova Iguacu",25/03/2019,"10 PÁSSAROS SILVESTRES, SENDO,  APARENTEMENTE, 01 TRINCA FERRO, 04 PIXOXÓS, 1 TICO TICO, 2 CANÁRIOS DA TERRA, 1 PATATIVA E 1 COLEIRO;10 PÁSSAROS SILVESTRES, SENDO,  APARENTEMENTE, 01 TRINCA FERRO, 04 PIXOXÓS, 1 TICO TICO, 2 CANÁRIOS DA TERRA, 1 PATATIVA E 1 COLEIRO;10 PÁSSAROS SILVESTRES, SENDO,  APARENTEMENTE, 01 TRINCA FERRO, 04 PIXOXÓS, 1 TICO TICO, 2 CANÁRIOS DA TERRA, 1 PATATIVA E 1 COLEIRO","Art.29,§1°,III, Lei 9605/1998;Art.29,§4°,IEV, Lei 9605/1998;Art.32, Lei 9605/1998"
"AC","Cruzeiro do Sul",16/04/2019,"01 COTIA MORTA;01 PACA MORTA;11 JABUTIS VIVOS","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998"
"RJ","Rio de Janeiro",18/04/2019,"MACACOS SILVESTRES","Art.29, Lei 9605/1998"
"SP","São Paulo",25/04/2019,"03 (TRÊS) PÁSSAROS BICUDOS, ANILHADOS, ANILHAS PROVAVELMENTE ADULTERADAS;_x000D_
03(TRÊS)  PÁSSAROS CURIOS, ANILHADOS, ANILHAS PROVAVELMENTE ADULTERADAS.;03 (TRÊS) PÁSSAROS BICUDOS, ANILHADOS, ANILHAS PROVAVELMENTE ADULTERADAS;_x000D_
03(TRÊS)  PÁSSAROS CURIOS, ANILHADOS, ANILHAS PROVAVELMENTE ADULTERADAS.","Art.29,§3°, Lei 9605/1998;Art.296,I, Código Penal"
"MG","Belo Horizonte",04/05/2019,"UM PÁSSARO CONHECIDO COMO ""TRINCA FERRO"", DE CORES PRETO, CINZA E BRANCO.","Art.296,§1°,II, Código Penal"
"MT","Cuiabá",07/05/2019,"DOIS DENTES DE ANIMAIS SILVESTRES APARENTEMENTE DE PORCO DO MATO.","-"
"RJ","Nova Iguacu",09/05/2019,"PÁSSAROS DA ESPÉCIE BICO DE VELUDO ( CARA SUJA);PÁSSAROS DA ESPÉCIE COLEIRO;PÁSSAROS DA ESPÉCIE MELRO;PÁSSAROS DA ESPÉCIE SABIÁ;PÁSSAROS DA ESPÉCIE TICO-TICO;PÁSSAROS DA ESPÉCIE TRINCA FERROS, SENDO APENAS 1 ANILHADO;PÁSSAROS DA ESPÉCIE XANXÃO","-;-;-;-;-;-;-"
"CE","Fortaleza",20/05/2019,"ARARA VERMELHA","Art.29, Lei 9605/1998"
"SP","São Paulo",23/05/2019,"APREENSÃO REALIZADA DE FORMA INDIRETA, TENDO POR REFERÊNCIA A FICHA CONTROLE DE ENTRADA DE ANIMAIS NO CONTRO DE RECUPERAÇÃO DE ANIMAIS SILVESTRES (CRAS-PET), Nº 30664. JUNTADO CÓPIA NO TC 62019-13.;ARARA CANINDÉ;;ARARA CANINDÉ;;JABUTI PIRANGA;;JABUTI PIRANGA;;MACACO PREGO;;MACACO PREGO;;PAPAGAIO VERDADEIRO.;PAPAGAIO VERDADEIRO.;PERIQUITO DA CAATINGA;;PERIQUITO DA CAATINGA;;SAGUI TUFO BRANCO;;SAGUI TUFO BRANCO;;SAGUI TUFO PRETO;;SAGUI TUFO PRETO;;TIGRE D'ÀGUA;;TIGRE D'ÀGUA;;TRÊS AVES SILVESTRES NÃO AMEAÇADAS DE EXTINÇÃO, ESPÉCIME ""TICO-TICO"". UMA DAS AVES POSSUI A ANILHA RLP 1213_x000D_
;TRÊS AVES SILVESTRES NÃO AMEAÇADAS DE EXTINÇÃO, ESPÉCIME ""TICO-TICO"". UMA DAS AVES POSSUI A ANILHA RLP 1213_x000D_
;UM PAPAGAIO VERDADE AMAZONAS AESTIVA;UM PAPAGAIO VERDADE AMAZONAS AESTIVA;UM PASSARINHO TRINCA-FERRO, ENCONTRADO EM CATIVEIRO, COM ANILHA SISPASS 3.5SPA046289, MAS SEM DOCUMENTAÇÃO, NO QUAINTAL DA RESIDÊNCIA DE OSVALDO FERREIRA JÚNIOR.;UM PASSARINHO TRINCA-FERRO, ENCONTRADO EM CATIVEIRO, COM ANILHA SISPASS 3.5SPA046289, MAS SEM DOCUMENTAÇÃO, NO QUAINTAL DA RESIDÊNCIA DE OSVALDO FERREIRA JÚNIOR.;UMA ARARA CANINDÉ;UMA ARARA CANINDÉ","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.299, Código Penal;Art.32, Lei 9605/1998"
"AL","Maceió",30/05/2019,"CAVALO CARRAPATO, RAÇA QUARTO DE MILHA, PROPRIETÁRIO FELIPE;CAVALO MALAWIBA, RAÇA QUARTO DE MILHA, PROPRIETÁRIO JOSE CARLINHOS;CAVALO MANGA LARGA, PROPRIETÁRIO ITALO;CAVALO QUARTO DE MILHA, PROPRIETÁRIO ELTON;CAVALO QUARTO DE MILHA, PROPRIETÁRIO JOSÉ CARLINHOS;CAVALO QUARTO DE MILHA, PROPRIETÁRIO JOSÉ CARLINHOS;CAVALO QUARTO DE MILHA, PROPRIETÁRIO NEGO;CAVALO TRENZINHO, RAÇA MARGA LARGA, PROPRIETÁRIO DEP. RICARDO NEZINHO;CAVALO XEXEU, RAÇA MARGA LARGA, PROPRIETÁRIO NILDO;ÉGUA QUARTO DE MILHA, PROPRIETARIO HUGO, FILHO DE DR. CORONEL PM NUZAMARO","Art.33, Lei 11343/2006;Art.33, Lei 11343/2006;Art.33, Lei 11343/2006;Art.33, Lei 11343/2006;Art.33, Lei 11343/2006;Art.33, Lei 11343/2006;Art.33, Lei 11343/2006;Art.33, Lei 11343/2006;Art.33, Lei 11343/2006;Art.33, Lei 11343/2006"
"AM","Tabatinga",05/06/2019,"01 (UM) TATU MORTO E EVISCERADO;05 (CINCO) JABUTIS VIVOS;20 (VINTE) PACAS MORTAS E EVISCERADAS;40 (QUARENTA) TRACAJÁS SENDO 38 (TRINTA E OITO) VIVOS E 02 (DOIS) MORTOS","Art.334-A,§1°,II, Código Penal;Art.334-A,§1°,II, Código Penal;Art.334-A,§1°,II, Código Penal;Art.334-A,§1°,II, Código Penal"
"RJ","Nova Iguacu",06/06/2019,"QUATRO (4) PÁSSAROS DA ESPÉCIE PIXOXÓ, EM SUAS RESPECTIVAS GAIOLAS, SENDO QUE UMA DAS GAIOLAS TEM ACOPLADO SEIS ALÇAPÕES.;UM (1) PÁSSARO DA ESPÉCIE PATATIVA, EM SUA RESPECTIVA GAIOLA.;UM (1) PÁSSARO DA ESPÉCIE SERRINHA, EM SUA RESPECTIVA GAIOLA.;UM (1) PÁSSARO DA ESPÉCIE TRINCA FERRO, EM SUA RESPECTIVA GAIOLA.","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998"
"MG","Juiz de Fora",12/06/2019,"TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.;TRÊS PÁSSAROS DA ESPÉCIE SALTATOR SIMILIS, CONHECIDO COMO TRINCA-FERRO VERDADEIRO, APRESENTANDO INDÍCIOS DE ANILHAS INIDÔNEAS, QUAIS SEJAM: IBAMA 0304 3,5 046199, IBAMA OA 3,5 571882 E SISPASS 3,5 MGA 111902.","Art.29,§1°, Lei 9605/1998;Art.29,§2°, Lei 9605/1998;Art.29,§3°, Lei 9605/1998;Art.29,§4°,VI, Lei 9605/1998;Art.29,§5°, Lei 9605/1998;Art.29,§6°, Lei 9605/1998;Art.296,I, Código Penal;Art.296,II, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,II, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§2°, Código Penal"
"AP","Macapá",13/06/2019,"DOIS JACARÉS JÁ ABATIDOS E CONGELADOS.;DUAS AVES DA ESPÉCIE ""MUTUM"".;PARTES DO QUE SERIA UMA PACA (CONGELADAS).;UMA AVE DA ESPÉCIE ""ARACUÃ"".","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998"
"RS","Uruguaiana",19/06/2019,"APROXIMADAMENTE 80 (OITENTA) PÁSSAROS DE ESPÉCIES SILVESTRES, ALGUNS ACONDICIONADOS EM CAIXAS DE MADEIRA, OUTROS EM CAIXAS DE PAPELÃO, TENDO SIDO DOIS DELES IDENTIFICADOS COMO ARAPONGAS DA AMAZÔNIA.;APROXIMADAMENTE 80 (OITENTA) PÁSSAROS DE ESPÉCIES SILVESTRES, ALGUNS ACONDICIONADOS EM CAIXAS DE MADEIRA, OUTROS EM CAIXAS DE PAPELÃO, TENDO SIDO DOIS DELES IDENTIFICADOS COMO ARAPONGAS DA AMAZÔNIA.","Art.29,§1°,3, Lei 9605/1998;Art.32, Lei 9605/1998"
"SP","Sorocaba",20/06/2019,"NOVE (09) PÁSSAROS PAPA-CAPIM COM ANILHAS APARENTEMENTE FALSAS;NOVE (09) PÁSSAROS PAPA-CAPIM COM ANILHAS APARENTEMENTE FALSAS;NOVE (09) PÁSSAROS PAPA-CAPIM COM ANILHAS APARENTEMENTE FALSAS;NOVE (09) PÁSSAROS PAPA-CAPIM COM ANILHAS APARENTEMENTE FALSAS;NOVE (09) PÁSSAROS PAPA-CAPIM COM ANILHAS APARENTEMENTE FALSAS;NOVE (09) PÁSSAROS PAPA-CAPIM COM ANILHAS APARENTEMENTE FALSAS","Art.296,I, Código Penal;Art.296,II, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,II, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§2°, Código Penal"
"PE","Recife",26/06/2019,"PÁSSARO DE NOME VULGAR AZULÃO-VERDADEIRO;PÁSSARO DE NOME VULGAR BAIANO;PÁSSARO DE NOME VULGAR BIGODINHO;PÁSSARO DE NOME VULGAR CABOCLINHO;PÁSSARO DE NOME VULGAR CANÁRIO-DA-TERRA-VERDADEIRO;PÁSSARO DE NOME VULGAR CORRUPIÃO;PÁSSARO DE NOME VULGAR GALO-DA-CAMPINA;PÁSSARO DE NOME VULGAR ROLINHA (ABATIDOS);PÁSSARO DE NOME VULGAR TRINCA-FERRO-VERDADEIRO","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998"
